time,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2018-10-17 14:34:29.856 UTC, , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,342814363648,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1539786869617,3145728,1377, , , ,3,4,7,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , ,2,15,16851480, , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-10-17 14:34:48.049 UTC, , , , , , , ,125,3169645,23792, , ,5, ,89,5,0.06, , , , , , , ,5,5, ,25, ,2,3,6, ,51,12, , , , , , , , , , , , , ,112263,2,110023,110023,1, ,5,10,112316,342814183424,15,15,15,15, , , , , ,13,62, , , , , , , , , , , , , , , , , , , , , , , , , ,112316,1539786887801,3145728,112263, , ,21,3,1,3,1,4,1, ,3,2, ,21, ,2048,1, , , , , ,1362598,168,2364,1, , , , ,1,17,2,11,15479032, , , , , , , ,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-10-17 14:34:53.060 UTC, , , , , , , ,125,3207629,61776, , ,11, ,1787,11,0.01, , , , , , , ,11,11, ,850, ,2,9,12, ,938,19, , , , , , , , , , , , , ,1455047,3,1445182,1445182,1, ,9,18,1455101,342812835840,3,3,3,3, , , , , ,113,938, , , , , , , , , , , , , , , , , , , , , , , , , ,1455101,1539786892660,3145728,1455047, , ,37,3,1,3,1,4,1, ,3,2, ,37, ,30767,7,9991,1, , , ,15795606,1592, , , , , , ,1,23,2,14,20740176,1, , , , , , ,942, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-10-17 14:34:57.456 UTC, , , , , , , ,125,3168869,23016, , ,3, ,60,3,0.05, , , , , , , ,3,3, ,2, ,2,1,4, ,53,20, , , , , , , , , , , , , ,1455047,3, ,1445182, , , , ,1455101,342812835840,3,3,3,3, , , , , ,114,966, , , , , , , , , , , , , , , , , , , , , , , , , ,1455101,1539786897195,3145728,1455047, , ,28,0, , , ,2, , ,3, , ,28, ,29140,13, , , , , ,3052727,261, , , , , , ,1,17,2,11,18122616,1, , , , , , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-10-18 08:21:11.256 UTC, , , , , , , ,125,3178893,33040, , ,5, ,2665,5,0.00, , , , , , , ,5,5, ,1301, ,4,3,6, ,1361,20, , , , , , , , , , , , , ,1552985,4,1548526,1548526,1, ,4,8,1553040,348102742016,3,3,3,3, , , , , ,121,2265, , , , , , , , , , , , , , , , , , , , , , , , , ,1553040,1539850870903,3145728,1552985, , ,32,2,1,2,1,4,1, ,3,2, ,32, ,29140,13,4586,1, , , ,3972279,369, , , , , , ,1,16,2,10,19132760, , , , , , , ,1357, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-10-18 08:22:38.900 UTC, , , , , , , ,125,3168893,23040, , ,3, ,36,3,0.08, , , , , , , ,3,3, ,2, ,2,1,4, ,37,21, , , , , , , , , , , , , ,1552985,4, ,1548526, , , , ,1553040,348102209536,3,3,3,3, , , , , ,121,2278, , , , , , , , , , , , , , , , , , , , , , , , , ,1553040,1539850958661,3145728,1552985, , ,29,0, , , ,2, , ,3, , ,29, ,56599,17, , , , , ,3146668,264, , , , , , ,1,15,2,10,18086016, , , , , , , ,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-10-18 08:23:13.609 UTC, , , , , , , ,125,3205301,59448, , ,12, ,1763,12,0.01, , , , , , , ,12,10, ,848, ,5,10,11, ,925,21, , , , , , , , , , , , , ,3099324,5,3090989,3090989,1,1,7,15,3099379,348100427776,3,3,3,3, , , , , ,234,3142, , , , , , , , , , , , , , , , , , , , , , , , , ,3099379,1539850993276,3145728,3099324, , ,41,2,1,2,1,4,1, ,3,2, ,41, ,47068,14,8462,1, ,1, ,20972654,2050, , , , , , ,1,15,2,10,24050632, , , , , , , ,924, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-10-18 08:24:45.344 UTC, , , , , , , ,125,3207869,62016, , ,13,1,1789,13,0.01, , , , , , , ,13,10, ,853,1,5,11,11, ,943,22, , , , , , , , , , , , , ,4654358,6,4648088,4648088,1,1,8,17,4654413,348098166784,2,2,2,2, , , , , ,329,4033, , , , , , , , , , , , , , , , , , , , , , , , , ,4654413,1539851084992,3145728,4654358, , ,44,3,1,3,1,4,1, ,3,2, ,44, ,85890,25,6397,1, ,2, ,24184822,2249, , , , , , ,1,15,2,10,26682160, , , , , , , ,940, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-10-18 08:25:17.643 UTC, , , , , , , ,125,3197805,51952, , ,10, ,1535,10,0.01, , , , , , , ,10,10, ,732, ,4,8,11, ,806,23, , , , , , , , , , , , , ,5699227,7,5695068,5695068,1,1,3,7,5699282,348097118208,2,2,2,2, , , , , ,393,4797, , , , , , , , , , , , , , , , , , , , , , , , , ,5699282,1539851117318,3145728,5699227, , ,43,5,1,5,1,4,1, ,3,2, ,43, ,22536,13,4286,1, , , ,21647592,1978, , , , , , ,1,15,2,10,28771848, , , , , , , ,797, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-10-18 08:32:57.560 UTC, , , , , , , ,125,3211821,65968, , ,13,1,1864,12,0.01, , , , , , , ,13,10, ,901,1,5,11,11, ,977,24, , , , , , , , , , , , , ,7420173,8,7412234,7412234,1,3,6,15,7420228,348088066048,2,2,2,2, , , , , ,498,5718, , , , , , , , , , , , , , , , , , , , , , , , , ,7420228,1539851577190,3145728,7420173, , ,47,3,1,3,1,4,1, ,3,2, ,47, ,89995,25,10654,2, ,1, ,31300620,2623, , , , , , ,1,15,3,12,25628008,1, , , , , , ,970, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
